iter	Passed	Remaining
0	109	32833
1	174	26072
2	203	20152
3	224	16638
4	247	14576
5	269	13210
6	289	12097
7	321	11731
8	348	11273
9	377	10946
10	401	10537
11	428	10289
12	448	9895
13	476	9725
14	503	9575
15	533	9463
16	569	9478
17	596	9350
18	626	9258
19	653	9154
20	680	9036
21	703	8895
22	728	8767
23	757	8706
24	790	8693
25	849	8947
26	891	9014
27	926	9005
28	956	8935
29	986	8874
30	1018	8840
31	1047	8774
32	1083	8769
33	1112	8703
34	1153	8734
35	1199	8799
36	134	1641	137	1335	1698	38	13636	1783	12676
37	1840	12690
38	1908	12769
39	2055	13357
40	2093	13226
41	2136	13125
42	2179	13028
43	2219	12912
44	2261	12817
45	2296	12681
46	2331	12552
47	2372	12457
48	2413	12361
49	2451	12256
50	2485	12135
51	2523	12033
52	2561	11936
53	2597	11832
54	2631	11721
55	2664	11609
56	2703	11524
57	2735	11414
58	2772	11326
59	2808	11232
60	2845	11148
61	2956	11347
62	3026	11386
63	3086	11381
64	3134	11333
65	3177	11264
66	3236	11253
67	3282	11197
68	3317	11107
69	3355	11025
70	3393	10945
71	3435	10879
72	3476	10811
73	3559	10871
74	3645	10937
75	3713	10943
76	3790	10978
77	3839	10927
78	3890	10884
79	3938	10829
80	3993	10796
81	4031	10718
82	4075	10656
83	4115	10581
84	4157	10515
85	4204	10463
86	4244	10392
87	4291	10338
88	4366	10352
89	4427	10331
90	4483	10298
91	4544	10273
92	4594	10225
93	4639	10166
94	4681	10102
95	4716	10022
96	4757	9956
97	4830	9956
98	4877	9903
99	4916	9832
100	4956	9764
101	5012	9729
102	5050	9658
103	5096	9604
104	5135	9536
105	5178	9477
106	5219	9414
107	5254	9340
108	5295	9278
109	5346	9235
110	5390	9178
111	5427	9110
112	5463	9041
113	5515	8998
114	5556	8939
115	5601	8884
116	5655	8845
117	5801	8948
118	5909	8988
119	6005	9008
120	6120	9054
121	6198	9044
122	6287	9048
123	6401	9086
124	6522	9131
125	6618	9139
126	6704	9132
127	6789	9123
128	6859	9093
129	6938	9073
130	7052	9098
131	7111	9050
132	7183	9020
133	7287	9028
134	7381	9021
135	7467	9004
136	7639	9089
137	7693	9031
138	7776	9007
139	7854	8976
140	7937	8950
141	8009	8911
142	8078	8869
143	8149	8828
144	8250	8819
145	8333	8790
146	8401	8743
147	8481	8710
148	8658	8775
149	8714	8714
150	8766	8650
151	8843	8610
152	8914	8564
153	8988	8521
154	9170	8579
155	9254	8542
156	9315	8484
157	9358	8410
158	9509	8432
159	9571	8375
160	9636	8319
161	9682	8248
162	9721	8170
163	9755	8089
164	9779	8001
165	9806	7915
166	9838	7835
167	9863	7750
168	9908	7680
169	9943	7603
170	9982	7530
171	10007	7447
172	10036	7368
173	10064	7288
174	10086	7204
175	10110	7123
176	10132	7041
177	10154	6959
178	10177	6880
179	10204	6802
180	10231	6726
181	10252	6647
182	10275	6569
183	10303	6495
184	10329	6421
185	10355	6346
186	10378	6271
187	10401	6196
188	10425	6122
189	10450	6050
190	10475	5978
191	10499	5905
192	10520	5832
193	10547	5762
194	10578	5695
195	10605	5627
196	10634	5559
197	10668	5495
198	10708	5434
199	10748	5374
200	10780	5309
201	10813	5246
202	10845	5182
203	10877	5118
204	10905	5053
205	10935	4989
206	10965	4926
207	10991	4861
208	11017	4797
209	11041	4731
210	11064	4666
211	11089	4603
212	11117	4540
213	11142	4477
214	11170	4416
215	11195	4353
216	11217	4290
217	11243	4229
218	11263	4166
219	11290	4105
220	11317	4045
221	11342	3985
222	11364	3923
223	11393	3865
224	11420	3806
225	11446	3747
226	11472	3689
227	11495	3630
228	11525	3573
229	11555	3516
230	11579	3458
231	11604	3401
232	11631	3344
233	11656	3287
234	11681	3230
235	11705	3174
236	11729	3118
237	11762	3064
238	11790	3009
239	11810	2952
240	11832	2896
241	11852	2840
242	11880	2786
243	11979	2749
244	12091	2714
245	12162	2669
246	12282	2635
247	12366	2593
248	12449	2549
249	12562	2512
250	12634	2466
251	12718	2422
252	12802	2378
253	12884	2333
254	12933	2282
255	12989	2232
256	13053	2184
257	13134	2138
258	13217	2092
259	13333	2051
260	13387	2000
261	13456	1951
262	13510	1900
263	13591	1853
264	13698	1809
265	13788	1762
266	13884	1716
267	13988	1670
268	14086	1623
269	14144	1571
270	14210	1520
271	14293	1471
272	14353	1419
273	14407	1367
274	14457	1314
275	14531	1263
276	14585	1211
277	14673	1161
278	14754	1110
279	14822	1058
280	14917	1008
281	14994	957
282	15067	905
283	15159	854
284	15234	801
285	15304	749
286	15372	696
287	15437	643
288	15481	589
289	15548	536
290	15613	482
291	15690	429
292	15761	376
293	15869	323
294	15936	270
295	16006	216
296	16087	162
297	16157	108
298	16204	54
299	16265	0
